liczbaPodzialow,funkcja,bladTrapezow,bladSimpsona,bladCSI
711,3,5.66505244048443E-7,2.6645352591003757E-15,5.665040458957549E-7
721,1,9.570200649733351E-7,6.894484982922222E-14,9.570182220031143E-7
721,2,2.6978473871563935E-8,1.1102230246251565E-16,2.697842230170444E-8
721,3,5.508997871217503E-7,6.217248937900877E-15,5.508987150903977E-7
731,1,9.31015294525217E-7,6.605826996519681E-14,9.310135429263511E-7
731,2,2.6245397466428955E-8,1.6653345369377348E-16,2.6245346840259032E-8
731,3,5.359303854035602E-7,2.220446049250313E-15,5.359294430462569E-7
741,1,9.060562284890494E-7,6.328271240363392E-14,9.060545707040291E-7
741,2,2.5541799536510368E-8,1.1102230246251565E-16,2.5541751491608977E-8
741,3,5.21562931954378E-7,3.1086244689504383E-15,5.215620046961078E-7
751,1,8.820875427861807E-7,5.895284260759581E-14,8.820859923597268E-7
751,2,2.486612057928106E-8,4.440892098500626E-16,2.4866078196517094E-8
751,3,5.077655780283408E-7,4.884981308350689E-15,5.077646507700706E-7
761,1,8.590575252265253E-7,5.440092820663267E-14,8.590560522936386E-7
761,2,2.4216902511087213E-8,5.551115123125783E-16,2.4216863070414263E-8
761,3,4.94508568316121E-7,4.440892098500626E-15,4.945076423901185E-7
771,1,8.369177929568039E-7,5.3734794391857577E-14,8.369163850829864E-7
771,2,2.3592781756009984E-8,5.551115123125783E-17,2.3592742426359337E-8
771,3,4.817640379961574E-7,6.661338147750939E-15,4.817632102138703E-7
781,1,8.156230426603628E-7,5.1958437552457326E-14,8.156217007337929E-7
781,2,2.2992481224504147E-8,1.3877787807814457E-16,2.2992443005076524E-8
781,3,4.695059141468505E-7,7.993605777301127E-15,4.6950518228783267E-7
791,1,7.951308147458036E-7,4.75175454539567E-14,7.95129531661054E-7
791,2,2.2414803763082247E-8,3.608224830031759E-16,2.2414764988543112E-8
791,3,4.5770975143355486E-7,3.9968028886505635E-15,4.5770909729014875E-7
801,1,7.754012855132331E-7,4.518607710224387E-14,7.754000757032031E-7
801,2,2.1858626658710634E-8,1.1102230246251565E-16,2.1858592352819173E-8
801,3,4.4635263707348827E-7,5.773159728050814E-15,4.4635195184383747E-7
811,1,7.56397071532966E-7,4.3520742565306136E-14,7.563959281142729E-7
811,2,2.132289622647221E-8,2.7755575615628914E-16,2.1322865612072306E-8
811,3,4.3541303496041905E-7,3.1086244689504383E-15,4.35412319532702E-7
821,1,7.380830470138378E-7,4.0523140398818214E-14,7.380819437852182E-7
821,2,2.0806622758051674E-8,3.3306690738754696E-16,2.0806590672606262E-8
821,3,4.248707363707638E-7,6.217248937900877E-15,4.2487014040304416E-7
831,1,7.204261925908284E-7,3.907985046680551E-14,7.204251601944378E-7
831,2,2.0308874720820214E-8,1.3877787807814457E-16,2.0308846743199993E-8
831,3,4.147067369508761E-7,1.3322676295501878E-15,4.1470609435378947E-7
841,1,7.03395439116683E-7,3.6193270602780103E-14,7.033944374734702E-7
841,2,1.9828776509633883E-8,0.0,1.9828746422589916E-8
841,3,4.049031443464912E-7,4.440892098500626E-16,4.049026434138625E-7
851,1,6.869615308824351E-7,3.708144902248023E-14,6.869605867487749E-7
851,2,1.9365503284296537E-8,5.551115123125783E-17,1.9365480080635322E-8
851,3,3.95443111145255E-7,2.220446049250313E-15,3.9544248719991515E-7
861,1,6.710969000511824E-7,3.4638958368304884E-14,6.710960008815547E-7
861,2,1.891827780542421E-8,2.498001805406602E-16,1.89182548238076E-8
861,3,3.863107882473571E-7,6.217248937900877E-15,3.863102424617182E-7
871,1,6.557755540814725E-7,3.241851231905457E-14,6.557747028734795E-7
871,2,1.8486368574821554E-8,2.498001805406602E-16,1.8486345648716096E-8
871,3,3.774911965237493E-7,4.440892098500626E-16,3.774906471853967E-7
881,1,6.409729687018029E-7,3.086420008457935E-14,6.409721291511516E-7
881,2,1.8069081952898358E-8,1.6653345369377348E-16,1.8069057583502968E-8
881,3,3.6897022193116413E-7,4.440892098500626E-16,3.689697978259687E-7
891,1,6.266659831055676E-7,2.919886554764162E-14,6.266651986219784E-7
891,2,1.76657666550728E-8,1.6653345369377348E-16,1.7665744839190367E-8
891,3,3.607345449019306E-7,4.440892098500626E-16,3.6073407461145734E-7
901,1,6.128327213472673E-7,2.8754776337791554E-14,6.128319606224508E-7
901,2,1.727580598021028E-8,0.0,1.72757831928827E-8
901,3,3.5277155152613204E-7,4.440892098500626E-15,3.5277114251996977E-7
911,1,5.994524947539048E-7,2.786659791809143E-14,5.994517752183626E-7
911,2,1.689861639508905E-8,8.326672684688674E-17,1.6898595106562553E-8
911,3,3.450693459861043E-7,2.220446049250313E-15,3.4506890234098364E-7
921,1,5.865057353116043E-7,2.5757174171303632E-14,5.865050426434593E-7
921,2,1.6533646229888177E-8,0.0,1.6533623137249265E-8
921,3,3.376166661794855E-7,3.1086244689504383E-15,3.376162789336945E-7
931,1,5.739739216137352E-7,2.5757174171303632E-14,5.739732673593068E-7
931,2,1.6180373318963603E-8,2.498001805406602E-16,1.6180354833750243E-8
931,3,3.3040284286300903E-7,5.773159728050814E-15,3.304023872274797E-7
941,1,5.618395071405047E-7,2.3092638912203256E-14,5.618388878581015E-7
941,2,1.5838303252246888E-8,1.1102230246251565E-16,1.5838288153213753E-8
