liczbaPodzialow,funkcja,bladTrapezow,bladSimpsona,bladCSI
921,2,4.516186002945233E-8,4.996003610813204E-16,4.51618070163029E-8
921,3,2.7297268806458774E-8,8.854028621385623E-15,2.729723591610167E-8
931,1,1.7980850629956135E-6,8.019279684745584E-13,1.7980829744301818E-6
931,2,4.419689114687486E-8,2.220446049250313E-16,4.4196852455602453E-8
931,3,2.67140098930696E-8,7.632783294297951E-15,2.6713983580783918E-8
941,1,1.760071585629741E-6,7.671502322281754E-13,1.7600695750019657E-6
941,2,4.3262522675391324E-8,1.6653345369377348E-16,4.326249364305923E-8
941,3,2.6149246851181474E-8,7.271960811294775E-15,2.6149223786298137E-8
951,1,1.7232509599701684E-6,7.361056209020944E-13,1.7232490740204387E-6
951,2,4.235747391723166E-8,3.885780586188048E-16,4.2357433172046655E-8
951,3,2.5602205661057198E-8,7.382983113757291E-15,2.5602173769900816E-8
961,1,1.6875737924304524E-6,7.0667083296172E-13,1.6875719750786278E-6
961,2,4.148053089902959E-8,4.440892098500626E-16,4.148047405561073E-8
961,3,2.507215321467804E-8,6.522560269672795E-15,2.5072116882629558E-8
971,1,1.652993222425736E-6,6.770556337798439E-13,1.6529914994845019E-6
971,2,4.0630543540753905E-8,4.440892098500626E-16,4.063049502400773E-8
971,3,2.4558392847096044E-8,6.300515664747763E-15,2.455836495274255E-8
981,1,1.619464765123535E-6,6.507849814596511E-13,1.6194630765575813E-6
981,2,3.980641549716779E-8,6.106226635438361E-16,3.980635815414857E-8
981,3,2.406026386458926E-8,6.161737786669619E-15,2.4060228448474774E-8
991,1,1.5869461698764242E-6,6.242922845345333E-13,1.586944526149603E-6
991,2,3.900711043058891E-8,2.7755575615628914E-16,3.900708434034783E-8
991,3,2.357713704825848E-8,6.161737786669619E-15,2.3577123087203944E-8
1001,1,1.555397282276827E-6,5.994371665707376E-13,1.55539570614871E-6
1001,2,3.8231640742125705E-8,4.440892098500626E-16,3.8231606880323454E-8
1001,3,2.310841853980783E-8,5.717648576819556E-15,2.3108402025240338E-8
1011,1,1.5247799278333973E-6,5.760808496901859E-13,1.524778443756647E-6
1011,2,3.7479067183099346E-8,4.996003610813204E-16,3.7479028325293484E-8
1011,3,2.265353910013701E-8,5.218048215738236E-15,2.2653516090764825E-8
1021,1,1.4950577913869223E-6,5.528077995364811E-13,1.4950563411997297E-6
1021,2,3.6748498632999116E-8,0.0,3.674845966417095E-8
1021,3,2.2211959854745444E-8,5.412337245047638E-15,2.2211940592375967E-8
1031,1,1.466196308572143E-6,5.331152186371924E-13,1.4661949798988605E-6
1031,2,3.603908499405506E-8,4.996003610813204E-16,3.603903592219737E-8
1031,3,2.1783167186706365E-8,5.10702591327572E-15,2.1783135267794407E-8
1041,1,1.4381625700193856E-6,5.13547537828174E-13,1.4381612503389096E-6
1041,2,3.5350016969193376E-8,3.885780586188048E-16,3.534996895204756E-8
1041,3,2.136667193175512E-8,5.3013149425851225E-15,2.136664295493418E-8
1051,1,1.410925219880177E-6,4.937439346264227E-13,1.4109239679094276E-6
1051,2,3.468052384159037E-8,2.220446049250313E-16,3.46804956974367E-8
1051,3,2.0962009739111664E-8,4.3298697960381105E-15,2.096198728485099E-8
1061,1,1.3844543788887886E-6,4.749672877224498E-13,1.384453121838769E-6
1061,2,3.4029872475471734E-8,5.551115123125783E-17,3.4029832896020906E-8
1061,3,2.0568733050119192E-8,3.6637359812630166E-15,2.0568708986035134E-8
1071,1,1.3587215530047603E-6,4.576200529626817E-13,1.358720354921461E-6
1071,2,3.3397360543752086E-8,3.885780586188048E-16,3.339733328777683E-8
1071,3,2.0186423616008753E-8,3.941291737419306E-15,2.0186404409150427E-8
1081,1,1.3336995593055123E-6,4.401617959004511E-13,1.3336984150680298E-6
1081,2,3.2782320746882476E-8,4.996003610813204E-16,3.278228316583309E-8
1081,3,1.98146735408411E-8,4.08006961549745E-15,1.9814654195204895E-8
1091,1,1.3093624546683946E-6,4.241190731946176E-13,1.3093613613623933E-6
1091,2,3.2184115650313316E-8,9.43689570931383E-16,3.218406702254484E-8
1091,3,1.9453099242561223E-8,4.3021142204224816E-15,1.9453072153119422E-8
1101,1,1.2856854721965405E-6,4.1015801865995627E-13,1.2856844420483515E-6
1101,2,3.160213685182711E-8,1.0547118733938987E-15,3.1602097771976645E-8
1101,3,1.9101333542659304E-8,3.552713678800501E-15,1.910131514071267E-8
1111,1,1.2626449526070838E-6,3.945316295883572E-13,1.2626439396534739E-6
1111,2,3.103580126229133E-8,2.220446049250313E-16,3.103576357021964E-8
1111,3,1.8759022224479338E-8,3.7192471324942744E-15,1.875899663383862E-8
1121,1,1.240218284834227E-6,3.816530425027054E-13,1.2402173071024425E-6
1121,2,3.0484555102461286E-8,1.6653345369377348E-16,3.048451457932089E-8
1121,3,1.8425830444757096E-8,3.3306690738754696E-15,1.8425805325961164E-8
1131,1,1.2183838566104388E-6,3.67469943363119E-13,1.2183829242451427E-6
